name,city,state,country,reach,description,status,food-recovery-hierarchy,category,subcategories,solution,founded,website,facebook,twitter,linkedin,email
Company Shop ,,,United Kingdom,National,"Company Shop stops good food going to waste. Founded by John Marren over 40 years ago, we’re now the UK’s largest redistributor of surplus products. ",For-Profit,Prevention,Secondary Marketplace,Brick and Mortar,Secondary Resellers,1975,http://www.companyshop.ltd.uk/,,,,info@companyshop.ltd.uk
Compology,San Francisco,CA,USA,National,"WasteOS uses sensors and software to lower your cost of service. Every day, WasteOS makes you more money by building, delivering and analyzing the most efficient routes for your fleet. Our sensors track the fullness of your front-load and roll-off containers. Proven to withstand extreme environments and guaranteed to get the job done.",For-Profit,Recycling,Composting; Renewable Energy from Organics (Anaerobic Digestion),Hauling Efficiency Software,,2012,http://compology.com/,,https://twitter.com/compology,https://www.linkedin.com/company/compology,sales@compology.com
Compost Cab,Washington D.C.,,USA,Local,"Since 2010, Compost Cab has helped organizations of all shapes and sizes implement composting programs that work. We provide the tools and support you need to achieve your team’s sustainability goals. These include: Equipment; Signage/Training; Collection; Data Reporting; Waste Auditing; LEED Expertise. ",For-Profit,Recycling,Composting,Community Composting,Community Composting,2010,http://compostcab.com/,https://www.facebook.com/CompostCab/?ref=page_internal,https://twitter.com/CompostCab,,
Compost Connect,Milwaukee,WI,USA,Local,Compost Connect is an app that helps urban residents and compost haulers close the loop on organic waste.,For-Profit,Recycling,Composting,Community Composting,Community Composting,2016,https://www.compost-connect.com/,https://www.facebook.com/compostconnect/?fref=ts,https://twitter.com/CompostMKE,,harini@compost-connect.com
Compost Pedallers,Austin,TX,USA,Local,"Compost Pedallers is a 100% bike-powered compost recycling program in Austin, TX that collects compostables from homes and businesses and pedals them directly to nearby urban farms and community gardens to grow more local food. Operate a unique rewards programs where customers earn points (based on volume of scraps diverted) that can be applied to discounts/free goods from local businesses.",For-Profit,Recycling,Composting,Community Composting,Community Composting,2012,https://compostpedallers.com/,http://www.facebook.com/compedallers,http://www.twitter.com/compedallers,,info@compostpedallers.com
CompostNow,Raleigh,NC,USA,Local,"We collect food scraps from residents and businesses throughout the Triangle and Asheville. We are very excited to bring the efforts of our members full circle by helping them share compost with local community gardens and urban farms, keeping this natural resource circulating in our community.",For-Profit,Recycling,Composting,Community Composting,Community Composting,2011,http://compostnow.org/compost-services/,http://facebook.com/CompostNow,http://twitter.com/compostnow,,thedirt@compostnow.org
Copia,San Francisco,CA,USA,Local,Our technology enables businesses to receive a tax write-off and a reduction in disposal costs for providing meals to communities in need.,For-Profit,Recovery,Donation Coordination; Donation Transportation,Donation Coordinator; Donation Matching Software; Donation Transportation,Donation Coordinator; Donation Matching Software; Donation Transportation,2015,https://gocopia.com/#/,https://www.facebook.com/GoCopia/,https://twitter.com/gocopia,https://www.linkedin.com/company/2874011,info@gocopia.com
Cornucopia Group,Los Angeles,CA,USA,National,"We specialize in identifying the most exciting advancements in industries ranging from agriculture, to green energy, to materials processing (to name a few) and discovering new ways to use these technologies for the betterment of the world, the economy, and the daily lives of the People.  Cornucopia Group is an ""idea farm"", a breeding ground for innovation. We unite to transform local problems into global solutions.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2015,http://www.cornucopiagroup.org/,,,,info@Cornucopiagroup.org
Count on It Labels,Boston,,United Kingdom,National,"Count On It® self-adhesive food calendars labels show you at a glance when your food was first opened, stored or frozen helping you waste less whilst saving you money.",For-Profit,Prevention,Consumer Education,Improved Inventory Management [Consumer Level],,2008,http://www.lyndseyyoung.co.uk/count-on-it-labels/,https://www.facebook.com/QueenofEasyGreen/,https://twitter.com/QueenEasyGreen,,hello@lyndseyyoung.co.uk
CropMobster,San Francisco,CA,USA,Local,"CropMobster is an online community-based exchange system for the trade and exchange items within the food and agricultural space. CropMobster SF Bay is focused on providing a locally based community for hunger relievers, tackle food waste and build our “farm-to-fork” economy in the San Francisco Bay Area.",For-Profit,Prevention; Recovery,Secondary Marketplace; Donation Coordination,Farm to Buyer; Business to Buyer; Consumer to Consumer; Donation Matching Software,Secondary Resellers; Donation Matching Software,2013,http://sfbay.cropmobster.com/,https://www.facebook.com/CropMobster,https://twitter.com/cropmobster,,
Crunchtime,Boston,MA,USA,National,"Our implementation process is different for everyone – we’re super-customized and there’s no cookie-cutter approach. We know your business is unique and your CrunchTime system configuration should be, too. When CrunchTime is installed in your business the resulting effect is a disciplined compliance to the rules you defined and thus, higher profits for your business.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,1995,http://www.crunchtime.com/,http://www.facebook.com/getcrunchtime,http://www.twitter.com/getcrunchtime,https://www.linkedin.com/company-beta/48639?pathWildcard=48639,
Cryogenically Processed Food,,,India,National,"The KP Group once again presents a world's first - an innovative line of Cryogenically Processed Food products from the CFP Pvt. Ltd. Engineered through a long research and development process, the products use a unique technology in grinding of wheat flour, spices and an extensive range of other products. The company is first in the world to introduce this grinding process in commercial production of manufacturing food.",For-Profit,Prevention,Shelf-Life Extension,,,2006,http://www.cryofoods.com/,,,,info@cryofoods.com
Cryovac Freshness Plus Active Barrier,Charlotte,NC,USA,National,Sealed Air Cryovac® Freshness Plus® Active Barrier’s proprietary oxygen barrier inhibits the growth of microorganisms that cause spoilage and allow food service operators and distributors to portion and organize a variety of fresh and dry food products for easier prep.,For-Profit,Prevention,Shelf-Life Extension,Spoilage Prevention Packaging,Spoilage Prevention Packaging,1960,http://www.cryovac.com/ap/en/food-packaging-products/freshnes-plus-active-packaging.aspx,,,https://www.linkedin.com/company/cryovac?trk=top_nav_home,Cryovac.mkt@sealedair.com
Culinary Misfits,Berlin,,Germany,Local,"Catering company that uses culinary misfits, or produce that doesn't fit conventional cosmetic standards. Their dishes celebrate the natural beauty of misshapen vegetables that are typically wasted.",For-Profit,Prevention,Food Product Creation; Secondary Marketplace,Surplus Produce; Business to Buyer,Value-Added Processing; Secondary Resellers,2012,http://www.culinarymisfits.de/en/catering/,https://www.facebook.com/culinarymisfits,,,
Daily Table,Dorchester,MA,USA,Local,"Daily Table is a not-for-profit retail store that offers our community a variety of tasty, convenient and affordable foods that will help you feel and be your best; food that will keep you moving forward, not hold you back. We offer an upbeat, clean and friendly retail store environment that is open to everyone in the community.  We can offer these daily values by working with a large network of growers, supermarkets, manufacturers, and other suppliers who donate their excess, healthy food to us, or provide us with special buying opportunities.",Nonprofit,Prevention,Secondary Marketplace,Brick and Mortar,Secondary Resellers,2015,http://dailytable.org/,http://www.facebook.com/dailytabledorchester,https://twitter.com/DailyTableDot?lang=en,,info@dailytable.org
Danny Dumpsters,Asheville,NC,USA,Local,"In 2009, Danny started hauling compostable waste in addition to recycling and trash, and in 2012 started a compost processing facility to to help divert large volumes of materials from area landfills while also creating a quality by-product of finished compost and topsoil. To reflect these changes, the business motto evolved into, ""Danny's Dumpster - Reducing Waste, Renewing Resources"".",For-Profit,Recycling,Composting,Centralized Composting,Centralized Composting,2009,http://www.dannysdumpster.com/,https://www.facebook.com/pages/Dannys-Dumpster/132949520799,,,dannysdumpster@gmail.com
Date Check Pro - Pinpoint Software,Madison,MI,USA,National,"Date Check Pro is expiration date management software that lets you know when and where products are expiring in store. This helps grocers reduce shrink from expired products, reduce the labor involved with rotating product, and increase customer satisfaction. ",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2011,http://www.pinpointsoftware.co/,,https://twitter.com/DateCheckPro,https://www.linkedin.com/company/pinpoint-software-inc-?trk=top_nav_home,
DayOld,,,United Kingdom,Local,"We sell delicious surplus baked goods (from brownies to cinnamon rolls to artisan loaves of bread!) through treat boxes, office pop-ups, and event catering. Our baked goods are surplus — we collect them from artisan bakeries the previous day, preventing them from going to waste. Our profits become much-needed cash donations to charities addressing child hunger.",For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,,http://www.dayoldeats.com/,http://www.facebook.com/DayOldEats,https://twitter.com/DayOldEats,,hello@dayoldeats.com
